page_url,제품명,제품 소개,cate1,cate2,가격,성별,XS이하,S,M,L,XL이상
https://www.nike.com/kr/t/스포츠웨어-에센셜-여성-오버사이즈-티셔츠-XGfd02HE/HQ3011-003,여성 오버사이즈 티셔츠,나이키 스포츠웨어 에센셜,탑 & 티셔츠,반팔,"59,000 원",W,0,0,1,1,0
https://www.nike.com/kr/t/스포츠웨어-에센셜-여성-크롭-티셔츠-XfMvOqRR/BV6176-100,여성 크롭 티셔츠,나이키 스포츠웨어 에센셜,탑 & 티셔츠,반팔,"45,000 원",W,0,0,0,0,1
https://www.nike.com/kr/t/원-피티드-여성-드라이-핏-반팔-크롭-탑-pcNxzUxj/FN2805-010,여성 드라이 핏 반팔 크롭 탑,나이키 원 피티드,탑 & 티셔츠,반팔,"55,000 원",W,0,1,0,0,0
https://www.nike.com/kr/t/우먼-바이-윤-여성-반팔-폴로-G3YhqdoI/FZ0277-100,여성 반팔 폴로,나이키 우먼 바이 윤,탑 & 티셔츠,반팔,"85,000 원",W,0,1,0,0,0
https://www.nike.com/kr/t/acg-여성-루즈-그래픽-티셔츠-AUt2R9mk/FV7326-010,여성 루즈 그래픽 티셔츠,나이키 ACG,탑 & 티셔츠,반팔,"59,000 원",W,0,0,1,0,0
https://www.nike.com/kr/t/티셔츠-a4kPACql/HV9489-010,티셔츠,나이키,탑 & 티셔츠,반팔,"45,000 원",W,1,1,1,1,1
https://www.nike.com/kr/t/sb-로고-스케이트보딩-티셔츠-Cyk3B5V9/DC7818-010,로고 스케이트보딩 티셔츠,나이키 SB,탑 & 티셔츠,반팔,"49,000 원",W,0,0,0,0,1
https://www.nike.com/kr/t/스포츠웨어-티셔츠-TZWJPvo1/HV9487-010,티셔츠,나이키 스포츠웨어,탑 & 티셔츠,반팔,"45,000 원",W,0,1,1,1,0
https://www.nike.com/kr/t/스포츠웨어-에센셜-여성-로고-티셔츠-dKKrwduj/DX7907-100,여성용 로고 티셔츠,나이키 스포츠웨어 에센셜,탑 & 티셔츠,반팔,"45,000 원",W,0,0,0,1,1
https://www.nike.com/kr/t/sb-스케이트보딩-티셔츠-9iuZr3Hz/FZ4109-100,스케이트보딩 티셔츠,나이키 SB,탑 & 티셔츠,반팔,"55,000 원",W,0,1,1,1,1
https://www.nike.com/kr/t/스포츠웨어-여성-반팔-폴로-탑-sSjKslKc/HJ6852-100,여성 반팔 폴로 탑,나이키 스포츠웨어,탑 & 티셔츠,반팔,"65,000 원",W,0,1,1,1,1
https://www.nike.com/kr/t/스포츠웨어-에센셜-여성-반팔-폴로-탑-DvZlQXQv/DV7885-474,여성 반팔 폴로 탑,나이키 스포츠웨어 에센셜,탑 & 티셔츠,반팔,"59,000 원",W,0,1,1,1,1
https://www.nike.com/kr/t/스포츠웨어-에센셜-여성-티셔츠-fw2OtXPY/HM4625-663,여성 티셔츠,나이키 스포츠웨어 에센셜,탑 & 티셔츠,반팔,"55,000 원",W,0,0,1,1,0
https://www.nike.com/kr/t/스포츠웨어-에센셜-여성-박시-티셔츠-YDJePold/DD1238-634,여성 박시 티셔츠,나이키 스포츠웨어 에센셜,탑 & 티셔츠,반팔,"49,000 원",W,0,0,1,0,1
https://www.nike.com/kr/t/원-릴랙스드-여성-드라이-핏-반팔-탑-ZTpflgMq/FN2815-010,여성 드라이 핏 반팔 탑,나이키 원 릴랙스드,탑 & 티셔츠,반팔,"55,000 원",W,0,1,0,0,0
https://www.nike.com/kr/t/에어-조던-워드마크-85-남성-티셔츠-Uf95fsbq/HF3447-085,남성 티셔츠,에어 조던 워드마크 85,탑 & 티셔츠,반팔,"69,000 원",W,0,0,0,0,1
https://www.nike.com/kr/t/드라이-핏-여성-티셔츠-JeudaG3V/DX0688-100,여성 티셔츠,나이키 드라이 핏,탑 & 티셔츠,반팔,"39,000 원",W,0,0,1,0,0
https://www.nike.com/kr/t/젠비-립-여성-드라이-핏-반팔-탑-ylfoXUYm/HF2773-478,여성 드라이 핏 반팔 탑,나이키 젠비 립,탑 & 티셔츠,반팔,"85,000 원",W,0,1,1,1,0
https://www.nike.com/kr/t/스포츠웨어-여성-오버사이즈-프렌치-테리-슈러그-Qq0vlcOJ/FV7510-010,여성 오버사이즈 프렌치 테리 슈러그,나이키 스포츠웨어,탑 & 티셔츠,반팔,"95,000 원",W,0,1,1,1,1
https://www.nike.com/kr/t/스포츠웨어-칠-니트-여성-티셔츠-kdwsDjZe/FV5509-010,여성 티셔츠,나이키 스포츠웨어 칠 니트,탑 & 티셔츠,반팔,"49,000 원",W,0,0,0,1,0
https://www.nike.com/kr/t/에어-조던-남성-데님-탑-G0gqawaJ/FZ2131-010,남성 데님 탑,에어 조던,탑 & 티셔츠,반팔,"139,000 원",W,0,0,0,0,1
https://www.nike.com/kr/t/스포츠웨어-여성-티셔츠-JEK8ZbjZ/HQ4329-100,여성 티셔츠,나이키 스포츠웨어,탑 & 티셔츠,반팔,"45,000 원",W,1,1,1,1,1
https://www.nike.com/kr/t/스포츠웨어-클럽-남성-티셔츠-62l1iPuq/AR4999-371,남성 티셔츠,나이키 스포츠웨어 클럽,탑 & 티셔츠,반팔,"39,000 원",W,0,0,0,0,1
https://www.nike.com/kr/t/sb-usa-스케이트보딩-티셔츠-rrhGhRAe/FZ8935-417,스케이트보딩 티셔츠,나이키 SB USA,탑 & 티셔츠,반팔,"49,000 원",W,0,0,1,1,1
https://www.nike.com/kr/t/jacquemus-여성-트랙-재킷-UUQC493c/FV5690-073,여성 트랙 재킷,나이키 x Jacquemus,탑 & 티셔츠,반팔,"269,000 원",W,1,1,1,1,1
https://www.nike.com/kr/t/조던-여성-우븐-탑-mtoo1zuT/FV7093-366,여성 우븐 탑,조던,탑 & 티셔츠,반팔,"95,000 원",W,0,1,1,0,0
https://www.nike.com/kr/t/원-피티드-립-여성-드라이-핏-반팔-크롭-탑-MTrD84dq/FV7875-010,여성 드라이 핏 반팔 크롭 탑,나이키 원 피티드 립,탑 & 티셔츠,반팔,"65,000 원",W,0,1,1,1,1
https://www.nike.com/kr/t/sb-남성-드라이-핏-adv-반팔-스케이트보딩-폴로-A8X7Yxde/FZ7006-394,남성 드라이 핏 ADV 반팔 스케이트보딩 폴로,나이키 SB,탑 & 티셔츠,반팔,"75,000 원",W,0,0,0,0,0
https://www.nike.com/kr/t/여성-티셔츠-8NB8nXwX/HV9497-010,여성 티셔츠,나이키,탑 & 티셔츠,반팔,"45,000 원",W,0,0,0,0,1
https://www.nike.com/kr/t/sb-반팔-버튼업-스케이트보딩-볼러-셔츠-pvUYlmKX/FZ4059-394,반팔 버튼업 스케이트보딩 볼러 셔츠,나이키 SB,탑 & 티셔츠,반팔,"99,000 원",W,0,0,1,1,1
