page_url,제품 소개,제품명,cate1,cate2,가격,성별,XS이하,S,M,L,XL이상
https://www.nike.com/kr/t/엘리먼트-킵초게-남성-드라이-핏-러닝-탑-JemMI0uz/FZ1079-010,남성 드라이 핏 러닝 탑,나이키 엘리먼트 '킵초게',탑 & 티셔츠,긴팔,"99,000 원",M,0,0,1,1,1
https://www.nike.com/kr/t/스피어-엘리먼트-남성-써마-핏-발수-하프집-러닝-탑-al3gwMEM/FZ1116-010,남성 써마 핏 발수 하프집 러닝 탑,나이키 스피어 엘리먼트,탑 & 티셔츠,긴팔,"129,000 원",M,0,0,0,1,1
https://www.nike.com/kr/t/조던-스포츠-남성-긴팔-티셔츠-SHbPErHv/FZ1981-011,남성 긴팔 티셔츠,조던 스포츠,탑 & 티셔츠,긴팔,"55,000 원",M,0,0,1,1,1
https://www.nike.com/kr/t/에어-조던-워드마크-남성-긴팔-티셔츠-cW0K4dH0/FZ9752-133,남성 긴팔 티셔츠,에어 조던 워드마크,탑 & 티셔츠,긴팔,"75,000 원",M,0,1,1,1,1
https://www.nike.com/kr/t/acg-남성-긴팔-티셔츠-qGIoHCz6/FZ6705-010,남성 긴팔 티셔츠,나이키 ACG,탑 & 티셔츠,긴팔,"75,000 원",M,0,1,1,1,1
https://www.nike.com/kr/t/남성-드라이-핏-긴팔-농구-티셔츠-tpf7n87l/HF6210-010,남성 드라이 핏 긴팔 농구 티셔츠,나이키,탑 & 티셔츠,긴팔,"49,000 원",M,0,0,1,1,1
https://www.nike.com/kr/t/대한민국-스트라이크-남성-사커-드릴-탑-CmkXDzdQ/FJ2876-418,남성 나이키 사커 드릴 탑,대한민국 스트라이크,탑 & 티셔츠,긴팔,"135,000 원",M,0,0,1,1,1
https://www.nike.com/kr/t/에센셜-남성-긴팔-후드-하이드로가드-UNprSgce/FB7436-010,남성 긴팔 후드 하이드로가드,나이키 에센셜,탑 & 티셔츠,긴팔,"99,000 원",M,1,1,1,0,0
https://www.nike.com/kr/t/남성-드라이-핏-농구-티셔츠-4G5E5r35/HF6202-010,남성 드라이 핏 농구 티셔츠,나이키,탑 & 티셔츠,긴팔,"49,000 원",M,0,0,1,0,1
https://www.nike.com/kr/t/프로-웜-남성-긴팔-탑-aGQTBTYA/FB7983-010,남성 긴팔 탑,나이키 프로 웜,탑 & 티셔츠,긴팔,"65,000 원",M,0,1,1,1,1
https://www.nike.com/kr/t/프로-남성-드라이-핏-웜-긴팔-피트니스-모크-BWjeW3jn/FB8516-010,남성 드라이 핏 웜 긴팔 피트니스 모크,나이키 프로,탑 & 티셔츠,긴팔,"65,000 원",M,0,1,1,1,1
https://www.nike.com/kr/t/프라이머리-남성-드라이-핏-긴팔-버서타일-탑-RAjLBH2U/FB8586-110,남성 드라이 핏 긴팔 버서타일 탑,나이키 프라이머리,탑 & 티셔츠,긴팔,"69,000 원",M,0,0,1,1,1
https://www.nike.com/kr/t/리버풀-fc-스트라이크-서드-남성-드라이-핏-축구-드릴-탑-uWjHpNQf/FQ2624-078,남성 나이키 드라이 핏 축구 드릴 탑,리버풀 FC 스트라이크 서드,탑 & 티셔츠,긴팔,"99,000 원",M,0,0,1,1,1
